name,gender,country,athlete_index,athletes_sent,athletes_total,athlete_%
AAGAARD Mikkel,Male,Denmark,1,34,63,53.96825396825397
AALTO Antti,Male,Finland,1,51,96,53.125
AALTONEN Miro,Male,Finland,1,51,96,53.125
ABDELKADER Justin,Male,United States of America,1,116,225,51.55555555555556
ABDI Fayik,Male,Saudi Arabia,1,1,1,100.0
ABDUL-SABOOR Hakeem,Male,United States of America,1,116,225,51.55555555555556
ABEDA Shannon,Male,Eritrea,1,1,1,100.0
ABELTSHAUSER Konrad,Male,Germany,1,96,148,64.86486486486487
ABOLS Rodrigo,Male,Latvia,1,50,61,81.9672131147541
ABRAMENKO Oleksandr,Male,Ukraine,1,24,46,52.17391304347826
ABRUZZESE Nick,Male,United States of America,1,116,225,51.55555555555556
ADELISSE Antoine,Male,France,1,50,86,58.139534883720934
AERNI Luca,Male,Switzerland,1,95,169,56.213017751479285
AESCHLIMANN Sandro,Male,Switzerland,1,95,169,56.213017751479285
AGOSTINO Kenny,Male,United States of America,1,116,225,51.55555555555556
AIGRO Artti,Male,Estonia,1,14,26,53.84615384615385
AIRAPETIAN Denis,Male,ROC,1,108,217,49.76958525345622
AKAR Furkan,Male,Turkey,1,4,7,57.14285714285714
ALATALO Santeri,Male,Switzerland,1,95,169,56.213017751479285
ALDOSHKIN Daniil,Male,ROC,1,108,217,49.76958525345622
ALESSANDRIA Arnaud,Male,Monaco,1,3,3,100.0
ALEV Alvar Johannes,Male,Estonia,1,14,26,53.84615384615385
ALEXANDER Benjamin,Male,Jamaica,1,6,7,85.71428571428571
ALLEGRE Nils,Male,France,1,50,86,58.139534883720934
AMBROSINI Filippo,Male,Italy,1,72,119,60.50420168067227
AMBUHL Andres,Male,Switzerland,1,95,169,56.213017751479285
AMMANN Simon,Male,Switzerland,1,95,169,56.213017751479285
ANDERSEN Espen,Male,Norway,1,54,84,64.28571428571429
ANDERSEN Filip Fjeld,Male,Norway,1,54,84,64.28571428571429
ANDERSONS Toms,Male,Latvia,1,50,61,81.9672131147541
ANDERSSON Viktor,Male,Sweden,1,64,118,54.23728813559322
ANDREEV Nikita,Male,ROC,1,108,217,49.76958525345622
ANDRIANOV Maxim,Male,ROC,1,108,217,49.76958525345622
ANDRIENKO Aleksander,Male,ROC,1,108,217,49.76958525345622
ANDRIGHETTO Sven,Male,Switzerland,1,95,169,56.213017751479285
ANDRONOV Sergei,Male,ROC,1,108,217,49.76958525345622
ANGELIS Apostolos,Male,Greece,1,2,5,40.0
ANGELOV Pavel,Male,Bulgaria,1,10,16,62.5
ANGENEND Yannik,Male,Germany,1,96,148,64.86486486486487
ANTONIOU Ioannis,Male,Greece,1,2,5,40.0
ANTONOV Vladislav,Male,ROC,1,108,217,49.76958525345622
ANTTILA Marko,Male,Finland,1,51,96,53.125
AOUICH Yassine,Male,Morocco,1,1,1,100.0
APARJODS Kristers,Male,Latvia,1,50,61,81.9672131147541
AREFYEV Artem,Male,ROC,1,108,217,49.76958525345622
ARLT Tobias,Male,Germany,1,96,148,64.86486486486487
ARMAN Sebastiano,Male,Italy,1,72,119,60.50420168067227
ARNOUK Cesar,Male,LBN,1,1,3,33.33333333333333
ARZHANIKOV Ivan,Male,Kazakhstan,1,17,34,50.0
ASPERUP Matthias,Male,Denmark,1,34,63,53.96825396825397
aus den BIRKEN Danny,Male,Germany,1,96,148,64.86486486486487
AUSTIN Taylor,Male,Canada,1,109,215,50.697674418604656
AYMOZ Kevin,Male,France,1,50,86,58.139534883720934
AZHGALIYEV Abzal,Male,Kazakhstan,1,17,34,50.0
BABA Naoto,Male,Japan,1,49,121,40.49586776859504
BACHER Daniel,Male,Austria,1,64,105,60.952380952380956
BACHSLEITNER Niklas,Male,Germany,1,96,148,64.86486486486487
BACKSCHEIDER Adrien,Male,France,1,50,86,58.139534883720934
BADELIHAN Hadesi,Male,People's Republic of China,1,95,182,52.197802197802204
BADRAUN Fabio,Male,Switzerland,1,95,169,56.213017751479285
BAGNIS Amedeo,Male,Italy,1,72,119,60.50420168067227
BAGOZZA Daniele,Male,Italy,1,72,119,60.50420168067227
BAILET Matthieu,Male,France,1,50,86,58.139534883720934
BAKER Jean-Luc,Male,United States of America,1,116,225,51.55555555555556
BAKKEN Sivert Guttorm,Male,Norway,1,54,84,64.28571428571429
BALINSKIS Uvis Janis,Male,Latvia,1,50,61,81.9672131147541
BALOGA Matej,Male,Slovakia,1,37,50,74.0
BANYS Linas,Male,Lithuania,1,8,13,61.53846153846154
BARALO Elliott,Male,Sweden,1,64,118,54.23728813559322
BARBERIO Mark,Male,Canada,1,109,215,50.697674418604656
BARCLAY Ben,Male,New Zealand,1,9,15,60.0
BARKOV Viacheslav,Male,ROC,1,108,217,49.76958525345622
BARTKO Simon,Male,Slovakia,1,37,50,74.0
BARTOSAK Patrik,Male,Czech Republic,1,59,115,51.30434782608696
BATES Evan,Male,United States of America,1,116,225,51.55555555555556
BATMUNKH Achbadrakh,Male,Mongolia,1,1,2,50.0
BATNA Oskars,Male,Latvia,1,50,61,81.9672131147541
BAU Mathias,Male,Denmark,1,34,63,53.96825396825397
BAUD Matteo,Male,France,1,50,86,58.139534883720934
BAUER Candy,Male,Germany,1,96,148,64.86486486486487
BAUER Florian,Male,Germany,1,96,148,64.86486486486487
BAUMANN Jonas,Male,Switzerland,1,95,169,56.213017751479285
BAUMANN Romed,Male,Germany,1,96,148,64.86486486486487
BAUMEISTER Stefan,Male,Germany,1,96,148,64.86486486486487
BAUMGARTNER Nick,Male,United States of America,1,116,225,51.55555555555556
BAUMGARTNER Patrick,Male,Italy,1,72,119,60.50420168067227
BEAULIEU Sebastien,Male,Canada,1,109,215,50.697674418604656
BEAUVAIS Cesar,Male,Belgium,1,11,19,57.89473684210527
BECKERT Patrick,Male,Germany,1,96,148,64.86486486486487
BELCHOS Jordan,Male,Canada,1,109,215,50.697674418604656
BELLINGHAM Phil,Male,Australia,1,21,44,47.72727272727273
BENECKEN Sascha,Male,Germany,1,96,148,64.86486486486487
BENGTSSON Lukas,Male,Sweden,1,64,118,54.23728813559322
BENIERS Matty,Male,United States of America,1,116,225,51.55555555555556
BENNETT Bryce,Male,United States of America,1,116,225,51.55555555555556
BERG Paul,Male,Germany,1,96,148,64.86486486486487
BERGMANN Lean,Male,Germany,1,96,148,64.86486486486487
BERGSMA Jorrit,Male,Netherlands,1,21,41,51.21951219512195
BERRA Reto,Male,Switzerland,1,95,169,56.213017751479285
BERRY Joos,Male,Switzerland,1,95,169,56.213017751479285
BERTSCHY Christoph,Male,Switzerland,1,95,169,56.213017751479285
