game_slug,game_location,game_name,game_season,game_year,discipline,event,event_sex,medal_type,participant_type,country,country_code,point_value
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Boxing,Men's Light (57-63kg),Men,BRONZE,Athlete,Armenia,ARM,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Wrestling,Men's Greco-Roman 97kg,Men,SILVER,Athlete,Armenia,ARM,2
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Artistic Gymnastics,Men's Vault,Men,BRONZE,Athlete,Armenia,ARM,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Weightlifting,Men's 109kg,Men,SILVER,Athlete,Armenia,ARM,2
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Diving,Women's 10m Platform,Women,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Cycling Road,Men's Individual Time Trial,Men,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Boxing,Men's Light (57-63kg),Men,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Surfing,Men,Men,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Canoe Slalom,Women's Canoe,Women,GOLD,Athlete,Australia,AUS,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Canoe Slalom,Women's Kayak,Women,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Marathon Swimming,Women's 10km,Women,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Cycling BMX Freestyle,Men's Park,Men,GOLD,Athlete,Australia,AUS,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Skateboarding,Men's Park,Men,GOLD,Athlete,Australia,AUS,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Equestrian,Eventing Individual,Open,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Athletics,Women's Javelin Throw,Women,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Athletics,Men's Decathlon,Men,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Athletics,Women's High Jump,Women,SILVER,Athlete,Australia,AUS,2
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Men's 400m Individual Medley,Men,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Women's 800m Freestyle,Women,SILVER,Athlete,Australia,AUS,2
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Men's 200m Breaststroke,Men,GOLD,Athlete,Australia,AUS,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Women's 50m Freestyle,Women,GOLD,Athlete,Australia,AUS,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Women's 200m Backstroke,Women,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Women's 200m Backstroke,Women,GOLD,Athlete,Australia,AUS,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Men's 400m Freestyle,Men,SILVER,Athlete,Australia,AUS,2
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Men's 100m Freestyle,Men,SILVER,Athlete,Australia,AUS,2
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Women's 100m Backstroke,Women,GOLD,Athlete,Australia,AUS,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Women's 100m Freestyle,Women,GOLD,Athlete,Australia,AUS,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Women's 100m Freestyle,Women,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Women's 200m Freestyle,Women,GOLD,Athlete,Australia,AUS,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Women's 100m Butterfly,Women,BRONZE,Athlete,Australia,AUS,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Swimming,Women's 400m Freestyle,Women,GOLD,Athlete,Australia,AUS,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Sailing,Laser Men,Men,GOLD,Athlete,Australia,AUS,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Cycling Road,Women's Road Race,Women,GOLD,Athlete,Austria,AUT,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Sport Climbing,Men's Combined,Men,BRONZE,Athlete,Austria,AUT,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Judo,Women -70 kg,Women,SILVER,Athlete,Austria,AUT,2
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Judo,Men -81 kg,Men,BRONZE,Athlete,Austria,AUT,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Athletics,Men's Discus Throw,Men,BRONZE,Athlete,Austria,AUT,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Rowing,Women's Single Sculls,Women,BRONZE,Athlete,Austria,AUT,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Karate,Women's Kumite -55kg,Women,BRONZE,Athlete,Austria,AUT,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Boxing,Men's Light Heavy (75-81kg),Men,BRONZE,Athlete,Azerbaijan,AZE,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Wrestling,Men's Freestyle 65kg,Men,SILVER,Athlete,Azerbaijan,AZE,2
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Wrestling,Men's Greco-Roman 77kg,Men,BRONZE,Athlete,Azerbaijan,AZE,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Wrestling,Women's Freestyle 50kg,Women,BRONZE,Athlete,Azerbaijan,AZE,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Judo,Women +78 kg,Women,BRONZE,Athlete,Azerbaijan,AZE,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Karate,Men's Kumite -75kg,Men,SILVER,Athlete,Azerbaijan,AZE,2
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Karate,Women's Kumite +61kg,Women,SILVER,Athlete,Azerbaijan,AZE,2
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Athletics,Women's 400m,Women,GOLD,Athlete,Bahamas,BAH,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Athletics,Men's 400m,Men,GOLD,Athlete,Bahamas,BAH,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Cycling Road,Men's Road Race,Men,SILVER,Athlete,Belgium,BEL,2
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Artistic Gymnastics,Women's Uneven Bars,Women,GOLD,Athlete,Belgium,BEL,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Judo,Men -81 kg,Men,BRONZE,Athlete,Belgium,BEL,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Athletics,Men's Marathon,Men,BRONZE,Athlete,Belgium,BEL,1
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Athletics,Women's Heptathlon,Women,GOLD,Athlete,Belgium,BEL,3
tokyo-2020,Japan,Tokyo 2020,Summer,2020,Triathlon,Women's Individual,Women,GOLD,Athlete,Bermuda,BER,3
