country,country_code,gold_Medal_Count,silver_Medal_Count,bronze_Medal_Count,point_value,average_GDP,average_GDP_ByTenBillion,Annual_temp,gold_point_value,silver_point_value,bronze_point_value,prop_gold,prop_silver,prop_bronze
Norway,NOR,123,107,111,694,174004252335.35,17.4,0.75,369,214,111,0.531700288184438,0.30835734870317005,0.15994236311239193
United States of America,USA,97,88,67,534,7935588709677.42,793.56,6.75,291,176,67,0.5449438202247191,0.3295880149812734,0.1254681647940075
Germany,GER,69,71,49,398,2097333173076.92,209.73,8.5,207,142,49,0.5201005025125628,0.35678391959798994,0.12311557788944724
Austria,AUT,59,75,78,405,187617829365.73,18.76,6.19,177,150,78,0.43703703703703706,0.37037037037037035,0.1925925925925926
Switzerland,SUI,50,33,37,253,330883578312.69,33.09,4.75,150,66,37,0.5928853754940712,0.2608695652173913,0.14624505928853754
Netherlands,NED,50,48,40,286,390153352773.1,39.02,9.2,150,96,40,0.5244755244755245,0.3356643356643357,0.13986013986013987
Sweden,SWE,47,36,41,254,249574761956.68,24.96,1.55,141,72,41,0.5551181102362205,0.28346456692913385,0.16141732283464566
Soviet Union,URS,47,43,49,276,996461764705.88,99.65,-6.32,141,86,49,0.5108695652173914,0.3115942028985507,0.17753623188405798
Canada,CAN,41,47,56,273,709113824697.47,70.91,-7.14,123,94,56,0.45054945054945056,0.3443223443223443,0.20512820512820512
France,FRA,35,37,39,218,1281130301583.65,128.11,10.54,105,74,39,0.481651376146789,0.3394495412844037,0.17889908256880735
Finland,FIN,35,47,44,243,120030304982.23,12.0,1.35,105,94,44,0.43209876543209874,0.3868312757201646,0.18106995884773663
Italy,ITA,31,30,38,191,1018543347726.24,101.85,11.5,93,60,38,0.4869109947643979,0.31413612565445026,0.19895287958115182
Russian Federation,RUS,30,24,23,161,996461764705.88,99.65,-6.32,90,48,23,0.5590062111801242,0.2981366459627329,0.14285714285714285
German Democratic Republic (Germany),GDR,28,28,24,164,2097333173076.92,209.73,8.5,84,56,24,0.5121951219512195,0.34146341463414637,0.14634146341463414
Republic of Korea,KOR,25,22,16,135,521507589308.97,52.15,10.66,75,44,16,0.5555555555555556,0.32592592592592595,0.11851851851851852
People's Republic of China,CHN,18,25,16,120,2820586296706.61,282.06,6.33,54,50,16,0.45,0.4166666666666667,0.13333333333333333
