Medal Won,Athlete Name,First Game,Host Country,Game Name,Year
GOLD,Birk RUUD,Beijing 2022,China,Beijing 2022,2022
SILVER,Colby STEVENSON,Beijing 2022,China,Beijing 2022,2022
GOLD,Ryan REGEZ,Beijing 2022,China,Beijing 2022,2022
GOLD,Ailing Eileen GU,Beijing 2022,China,Beijing 2022,2022
GOLD,Ailing Eileen GU,Beijing 2022,China,Beijing 2022,2022
SILVER,Ailing Eileen GU,Beijing 2022,China,Beijing 2022,2022
BRONZE,Kelly SILDARU,Beijing 2022,China,Beijing 2022,2022
BRONZE,Anastasiia SMIRNOVA,Beijing 2022,China,Beijing 2022,2022
BRONZE,Daniela MAIER,Beijing 2022,China,Beijing 2022,2022
SILVER,Hanna HUSKOVA,Beijing 2022,China,Beijing 2022,2022
BRONZE,Megan NICK,Beijing 2022,China,Beijing 2022,2022
BRONZE,Rachel KARKER,Beijing 2022,China,Beijing 2022,2022
BRONZE,Hanne DESMET,Beijing 2022,China,Beijing 2022,2022
BRONZE,Steven DUBOIS,Beijing 2022,China,Beijing 2022,2022
SILVER,Steven DUBOIS,Beijing 2022,China,Beijing 2022,2022
SILVER,Konstantin IVLIEV,Beijing 2022,China,Beijing 2022,2022
BRONZE,Semen ELISTRATOV,Beijing 2022,China,Beijing 2022,2022
SILVER,Wenlong LI,Beijing 2022,China,Beijing 2022,2022
BRONZE,Kokomo MURASE,Beijing 2022,China,Beijing 2022,2022
BRONZE,Tess COADY,Beijing 2022,China,Beijing 2022,2022
SILVER,Yiming SU,Beijing 2022,China,Beijing 2022,2022
GOLD,Yiming SU,Beijing 2022,China,Beijing 2022,2022
GOLD,Marius LINDVIK,Beijing 2022,China,Beijing 2022,2022
SILVER,Katharina ALTHAUS,Beijing 2022,China,Beijing 2022,2022
GOLD,Anna SHCHERBAKOVA,Beijing 2022,China,Beijing 2022,2022
SILVER,Alexandra Trusova,Beijing 2022,China,Beijing 2022,2022
SILVER,Yuma KAGIYAMA,Beijing 2022,China,Beijing 2022,2022
SILVER,Anna BERREITER,Beijing 2022,China,Beijing 2022,2022
BRONZE,Eduard LATYPOV,Beijing 2022,China,Beijing 2022,2022
BRONZE,Vetle Sjaastad CHRISTIANSEN,Beijing 2022,China,Beijing 2022,2022
