Sport,Sporting Event Name,Olympic Host,Olympic Name,Year
Freestyle Skiing,Mixed Team Aerials,China,Beijing 2022,2022
Freestyle Skiing,Mixed Team Aerials,China,Beijing 2022,2022
Freestyle Skiing,Mixed Team Aerials,China,Beijing 2022,2022
Freestyle Skiing,Mixed Team Aerials,China,Beijing 2022,2022
Freestyle Skiing,Mixed Team Aerials,China,Beijing 2022,2022
Freestyle Skiing,Mixed Team Aerials,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Snowboard,Mixed Team Snowboard Cross,China,Beijing 2022,2022
Ski Jumping,Men's Team,China,Beijing 2022,2022
Ski Jumping,Men's Team,China,Beijing 2022,2022
Ski Jumping,Men's Team,China,Beijing 2022,2022
Ski Jumping,Men's Team,China,Beijing 2022,2022
Ski Jumping,Men's Team,China,Beijing 2022,2022
Ski Jumping,Men's Team,China,Beijing 2022,2022
Ski Jumping,Men's Team,China,Beijing 2022,2022
Ski Jumping,Men's Team,China,Beijing 2022,2022
Ski Jumping,Men's Team,China,Beijing 2022,2022
Ski Jumping,Men's Team,China,Beijing 2022,2022
Ski Jumping,Men's Team,China,Beijing 2022,2022
Ski Jumping,Mixed Team,China,Beijing 2022,2022
Ski Jumping,Mixed Team,China,Beijing 2022,2022
Ski Jumping,Mixed Team,China,Beijing 2022,2022
Ski Jumping,Mixed Team,China,Beijing 2022,2022
Ski Jumping,Mixed Team,China,Beijing 2022,2022
Ski Jumping,Mixed Team,China,Beijing 2022,2022
Ski Jumping,Mixed Team,China,Beijing 2022,2022
Ski Jumping,Mixed Team,China,Beijing 2022,2022
Ski Jumping,Mixed Team,China,Beijing 2022,2022
Ski Jumping,Mixed Team,China,Beijing 2022,2022
Biathlon,Mixed Relay 4x6km (W+M),China,Beijing 2022,2022
Biathlon,Mixed Relay 4x6km (W+M),China,Beijing 2022,2022
Biathlon,Mixed Relay 4x6km (W+M),China,Beijing 2022,2022
Biathlon,Mixed Relay 4x6km (W+M),China,Beijing 2022,2022
Biathlon,Mixed Relay 4x6km (W+M),China,Beijing 2022,2022
Biathlon,Mixed Relay 4x6km (W+M),China,Beijing 2022,2022
Biathlon,Mixed Relay 4x6km (W+M),China,Beijing 2022,2022
Biathlon,Mixed Relay 4x6km (W+M),China,Beijing 2022,2022
Biathlon,Mixed Relay 4x6km (W+M),China,Beijing 2022,2022
Biathlon,Mixed Relay 4x6km (W+M),China,Beijing 2022,2022
Biathlon,Mixed Relay 4x6km (W+M),China,Beijing 2022,2022
