,country_name,country_code,GDP,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
4,Aruba,ABW,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223.0,1245810056.0,1320670391.0,1379888268.0,1531843575.0,1665363128.0,1722905028.0,1873184358.0,1896648045.0,1962011173.0,2044134078.0,2254748603.0,2359776536.0,2469832402.0,2677653631.0,2843016760.0,2553631285.0,2453631285.0,2637988827.0,2615083799.0,2727932961.0,2791061453.0,2963128492.0,2983798883.0,3092178771.0,3202234637.0,3368970253.0,2610038938.0,3126019399.0
5,Africa Eastern and Southern,AFE,GDP (current US$),21290811194.0,21808704493.0,23707266143.0,28210335256.0,26119063726.0,29682486700.0,32239462541.0,33514906532.0,36521869225.0,41828778632.0,44863079905.0,49479440038.0,53515410561.0,69601524280.0,86058687786.0,91650122062.0,91125515752.0,103417000000.0,115346000000.0,134673000000.0,170656000000.0,174389000000.0,167268000000.0,174920000000.0,160136000000.0,136299000000.0,152520000000.0,186147000000.0,204142000000.0,217541000000.0,253227000000.0,273406000000.0,238258000000.0,236529000000.0,240123000000.0,269640000000.0,268417000000.0,282188000000.0,265817000000.0,262175000000.0,283928000000.0,258821000000.0,264873000000.0,352662000000.0,438838000000.0,512217000000.0,575703000000.0,660805000000.0,708095000000.0,719071000000.0,860332000000.0,964181000000.0,972573000000.0,983473000000.0,1003770000000.0,924523000000.0,882721000000.0,1021120000000.0,1007240000000.0,1001020000000.0,927484000000.0,1080710000000.0
6,Afghanistan,AFG,GDP (current US$),537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638.0,1399999967.0,1673333418.0,1373333367.0,1408888922.0,1748886596.0,1831108971.0,1595555476.0,1733333264.0,2155555498.0,2366666616.0,2555555567.0,2953333418.0,3300000109.0,3697940410.0,3641723322.0,3478787909.0,,,,,,,,,,,,,,,,,,,,,3854235264.0,4539500884.0,5220823685.0,6226199249.0,6971379033.0,9715761650.0,10249767311.0,12154835708.0,15633856787.0,18190410821.0,20203572960.0,20564485419.0,20550582747.0,19998156214.0,18019558182.0,18896352022.0,18418848300.0,18904490263.0,20143442151.0,14786861638.0
7,Africa Western and Central,AFW,GDP (current US$),10404135069.0,11127894641.0,11943187848.0,12676330765.0,13838369295.0,14862225760.0,15832591204.0,14426038230.0,14880349280.0,16882092549.0,23504605476.0,20832817218.0,25264953766.0,31273819026.0,44214484997.0,51444731784.0,62129390375.0,65315008068.0,71199708192.0,88628401269.0,112031000000.0,211003000000.0,187164000000.0,138115000000.0,114263000000.0,116507000000.0,107498000000.0,110322000000.0,108943000000.0,101769000000.0,121802000000.0,117457000000.0,118282000000.0,98826369836.0,86281743753.0,108221000000.0,125763000000.0,127064000000.0,130107000000.0,137521000000.0,140410000000.0,146780000000.0,176606000000.0,204471000000.0,253472000000.0,310094000000.0,395656000000.0,464426000000.0,566479000000.0,507030000000.0,597129000000.0,680456000000.0,736040000000.0,832217000000.0,892498000000.0,766958000000.0,690545000000.0,683748000000.0,766360000000.0,794719000000.0,784800000000.0,840187000000.0
8,Angola,AGO,GDP (current US$),,,,,,,,,,,,,,,,,,,,,5930503401.0,5550483036.0,5550483036.0,5784341596.0,6131475065.0,7553560459.0,7072063346.0,8083872012.0,8769250550.0,10201099039.0,11228764963.0,10603784541.0,8307810974.0,5768720422.0,4438321017.0,5538749260.0,7526446606.0,7648377413.0,6506229607.0,6152922943.0,9129594819.0,8936063723.0,15285594828.0,17812704825.0,23552047248.0,36970918699.0,52381006892.0,65266452081.0,88538610805.0,70307166934.0,81699526881.0,109437000000.0,124998000000.0,133402000000.0,137244000000.0,87219300385.0,49840491178.0,68972769396.0,77792944472.0,69309110146.0,53619073505.0,67404287260.0
9,Albania,ALB,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,1857338012.0,1897050133.0,2097326250.0,2080796250.0,2051236250.0,2253090000.0,2028553750.0,1099559028.0,652174990.8,1185315468.0,1880951520.0,2392764853.0,3199641336.0,2258513974.0,2545964541.0,3212121651.0,3480355258.0,3922100794.0,4348068242.0,5611496257.0,7184685782.0,8052073539.0,8896072919.0,10677324144.0,12881353508.0,12044208086.0,11926922829.0,12890764531.0,12319830437.0,12776220507.0,13228147516.0,11386850130.0,11861199831.0,13019689337.0,15156432310.0,15401830754.0,15131866271.0,18255787479.0
10,Andorra,AND,GDP (current US$),,,,,,,,,,,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594.0,611316399.4,721425939.2,795449332.4,1029048482.0,1106928583.0,1210013652.0,1007025755.0,1017549124.0,1178738991.0,1223945357.0,1180597273.0,1211932398.0,1239876305.0,1429049198.0,1546926174.0,1755910032.0,2361726862.0,2894921778.0,3159905484.0,3456442103.0,3952600602.0,4085630584.0,3674409558.0,3449966857.0,3629203786.0,3188808943.0,3193704343.0,3271808157.0,2789870188.0,2896679212.0,3000180750.0,3218316013.0,3155065488.0,2891022273.0,3330281524.0
11,Arab World,ARB,GDP (current US$),,,,,,,,,35019727480.0,38162991696.0,43149825508.0,49841484048.0,59381286567.0,75329791104.0,142816000000.0,157909000000.0,196559000000.0,226978000000.0,249110000000.0,338625000000.0,459810000000.0,474023000000.0,444130000000.0,418462000000.0,425898000000.0,419499000000.0,406984000000.0,440606000000.0,424900000000.0,455823000000.0,644066000000.0,471524000000.0,473813000000.0,482767000000.0,507767000000.0,556058000000.0,614193000000.0,662317000000.0,644494000000.0,712837000000.0,816019000000.0,798505000000.0,803123000000.0,887852000000.0,1056250000000.0,1297890000000.0,1538290000000.0,1790040000000.0,2253730000000.0,1978800000000.0,2327000000000.0,2541860000000.0,2787170000000.0,2843530000000.0,2895460000000.0,2538930000000.0,2516490000000.0,2598090000000.0,2800430000000.0,2818500000000.0,2490810000000.0,2860720000000.0
12,United Arab Emirates,ARE,GDP (current US$),,,,,,,,,,,,,,,,14720672507.0,19213022691.0,24871775165.0,23775831783.0,31225463218.0,43598748449.0,49333424135.0,46622718605.0,42803323345.0,41807954236.0,40603650232.0,33943612095.0,36384908744.0,36275674203.0,41464995914.0,50701443748.0,51552165622.0,54239171888.0,55625170253.0,59305093980.0,65743666576.0,73571233996.0,78839008445.0,75674336283.0,84445473111.0,104337000000.0,103312000000.0,109816000000.0,124346000000.0,147824000000.0,180617000000.0,222117000000.0,257916000000.0,315475000000.0,253547000000.0,289787000000.0,350666000000.0,384610000000.0,400219000000.0,414105000000.0,370275000000.0,369255000000.0,390517000000.0,427049000000.0,417990000000.0,349473000000.0,415022000000.0
13,Argentina,ARG,GDP (current US$),,,24450604878.0,18272123664.0,25605249382.0,28344705967.0,28630474728.0,24256667553.0,26436857247.0,31256284544.0,31584210366.0,33293199095.0,34733000536.0,52544000117.0,72436777342.0,52438647922.0,51169499892.0,56781000101.0,58082870156.0,69252328952.0,76961923741.0,78676842367.0,84307486837.0,103979000000.0,79092001998.0,88416668900.0,110934000000.0,111106000000.0,126207000000.0,76636898036.0,141352000000.0,189720000000.0,228789000000.0,236742000000.0,257440000000.0,258032000000.0,272150000000.0,292859000000.0,298948000000.0,283523000000.0,284204000000.0,268697000000.0,97724004252.0,127587000000.0,164658000000.0,198737000000.0,232557000000.0,287531000000.0,361558000000.0,332976000000.0,423627000000.0,530163000000.0,545982000000.0,552025000000.0,526320000000.0,594749000000.0,557531000000.0,643629000000.0,524820000000.0,447755000000.0,385540000000.0,487227000000.0
14,Armenia,ARM,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.0,2069870130.0,1272835453.0,1201312829.0,1315158637.0,1468317435.0,1596968946.0,1639492445.0,1893726437.0,1845482173.0,1911563669.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469950.0,6384451606.0,9206301700.0,11662040714.0,8647936748.0,9260284938.0,10142111334.0,10619320049.0,11121465767.0,11609512940.0,10553337673.0,10546135160.0,11527458566.0,12457941907.0,13619291361.0,12641697523.0,13861409969.0
15,American Samoa,ASM,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,716000000.0,709000000.0
