name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,sport_class,url
AAJIM Munkhbat,AAJIM M,Male,1989-01-25,,,Mongolia,MGL,Judo,JUD,,,B3,../../../en/results/judo/athlete-profile-n1725243-aajim-munkhbat.htm
ABARZA Alberto,ABARZA A,Male,1984-12-11,SANTIAGO,Chile,Chile,CHI,Swimming,SWM,CHILE,,S2,../../../en/results/swimming/athlete-profile-n1347418-abarza-alberto.htm
ABASLI Namig,ABASLI N,Male,1997-09-12,,,Azerbaijan,AZE,Judo,JUD,SUMQAYIT,Azerbaijan,B2,../../../en/results/judo/athlete-profile-n1287410-abasli-namig.htm
ABASSI Mostefa,ABASSI M,Male,1977-09-25,DJELFA,Algeria,Algeria,ALG,Wheelchair Basketball,WBK,SAINT-JORY,France,2.5,../../../en/results/wheelchair-basketball/athlete-profile-n1375083-abassi-mostefa.htm
ABBAD Abderraouf,ABBAD A,Male,1986-10-27,ROUIBA,Algeria,Algeria,ALG,Wheelchair Basketball,WBK,ALGIERS,Algeria,1.0,../../../en/results/wheelchair-basketball/athlete-profile-n1375096-abbad-abderraouf.htm
ABDALLA Ashraf,ABDALLA A,Male,1974-02-24,AL FAYYUM,Egypt,Egypt,EGY,Sitting Volleyball,VBS,CAIRO,Egypt,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1706815-abdalla-ashraf.htm
ABDELALI Samiha,ABDELALI S,Female,1988-04-25,OUARGLA,Algeria,Algeria,ALG,Wheelchair Basketball,WBK,OUARGLA,Algeria,2.5,../../../en/results/wheelchair-basketball/athlete-profile-n1363523-abdelali-samiha.htm
ABDELAZIZ Gihan,ABDELAZIZ G,Female,1974-10-29,GIZA,Egypt,Egypt,EGY,Powerlifting,PWL,,,PWL,../../../en/results/powerlifting/athlete-profile-n1706596-abdelaziz-gihan.htm
ABDELHADY Hany,ABDELHADY H,Male,1980-05-19,CAIRO,Egypt,Egypt,EGY,Powerlifting,PWL,CAIRO,Egypt,PWL,../../../en/results/powerlifting/athlete-profile-n1465669-abdelhady-hany.htm
ABDELLAOUI Cherine,ABDELLAOUI C,Female,1998-08-28,,,Algeria,ALG,Judo,JUD,,,B3,../../../en/results/judo/athlete-profile-n1373730-abdellaoui-cherine.htm
ABDELLATIF Abdelnaby,ABDELLATIF A,Male,1972-06-18,,,Egypt,EGY,Sitting Volleyball,VBS,,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1706600-abdellatif-abdelnaby.htm
