medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,event,country,country_code,discipline,discipline_code
Gold Medal,1,2021-08-25 00:00:00.0,BANGMA T,BANGMA Tristan,M,../../../en/results/cycling-track/athlete-profile-n1708828-bangma-tristan.htm,Men's B 4000m Individual Pursuit,Netherlands,NED,Cycling Track,CTR
Silver Medal,2,2021-08-25 00:00:00.0,BATE S,BATE Stephen,M,../../../en/results/cycling-track/athlete-profile-n1720651-bate-stephen.htm,Men's B 4000m Individual Pursuit,Great Britain,GBR,Cycling Track,CTR
Bronze Medal,3,2021-08-25 00:00:00.0,POLAK M,POLAK Marcin,M,../../../en/results/cycling-track/athlete-profile-n1376963-polak-marcin.htm,Men's B 4000m Individual Pursuit,Poland,POL,Cycling Track,CTR
Gold Medal,1,2021-08-25 00:00:00.0,GRECO P,GRECO Paige,W,../../../en/results/cycling-track/athlete-profile-n1404419-greco-paige.htm,Women's C1-3 3000m Individual Pursuit,Australia,AUS,Cycling Track,CTR
Silver Medal,2,2021-08-25 00:00:00.0,WANG X,WANG Xiaomei,W,../../../en/results/cycling-track/athlete-profile-n1711571-wang-xiaomei.htm,Women's C1-3 3000m Individual Pursuit,People's Republic of China,CHN,Cycling Track,CTR
Bronze Medal,3,2021-08-25 00:00:00.0,SCHINDLER D,SCHINDLER Denise,W,../../../en/results/cycling-track/athlete-profile-n1443536-schindler-denise.htm,Women's C1-3 3000m Individual Pursuit,Germany,GER,Cycling Track,CTR
Gold Medal,1,2021-08-25 00:00:00.0,PETRICOLA E,PETRICOLA Emily,W,../../../en/results/cycling-track/athlete-profile-n1404422-petricola-emily.htm,Women's C4 3000m Individual Pursuit,Australia,AUS,Cycling Track,CTR
Silver Medal,2,2021-08-25 00:00:00.0,MORELLI S,MORELLI Shawn,W,../../../en/results/cycling-track/athlete-profile-n1690572-morelli-shawn.htm,Women's C4 3000m Individual Pursuit,United States of America,USA,Cycling Track,CTR
Bronze Medal,3,2021-08-25 00:00:00.0,SHAW K,SHAW Keely,W,../../../en/results/cycling-track/athlete-profile-n1525746-shaw-keely.htm,Women's C4 3000m Individual Pursuit,Canada,CAN,Cycling Track,CTR
Gold Medal,1,2021-08-25 00:00:00.0,STOREY S,DAME STOREY Sarah,W,../../../en/results/cycling-track/athlete-profile-n1720652-dame-storey-sarah.htm,Women's C5 3000m Individual Pursuit,Great Britain,GBR,Cycling Track,CTR
Silver Medal,2,2021-08-25 00:00:00.0,LANE-WRIGHT C,LANE-WRIGHT Crystal,W,../../../en/results/cycling-track/athlete-profile-n1720666-lane-wright-crystal.htm,Women's C5 3000m Individual Pursuit,Great Britain,GBR,Cycling Track,CTR
Bronze Medal,3,2021-08-25 00:00:00.0,PATOUILLET M,PATOUILLET Marie,W,../../../en/results/cycling-track/athlete-profile-n1358095-patouillet-marie.htm,Women's C5 3000m Individual Pursuit,France,FRA,Cycling Track,CTR
Gold Medal,1,2021-08-25 00:00:00.0,SHALABI I,SHALABI Iyad,M,../../../en/results/swimming/athlete-profile-n1282649-shalabi-iyad.htm,Men's 100m Backstroke - S1,Israel,ISR,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,KOL A,KOL Anton,M,../../../en/results/swimming/athlete-profile-n1347434-kol-anton.htm,Men's 100m Backstroke - S1,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,BETTELLA F,BETTELLA Francesco,M,../../../en/results/swimming/athlete-profile-n1684313-bettella-francesco.htm,Men's 100m Backstroke - S1,Italy,ITA,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,ABARZA A,ABARZA Alberto,M,../../../en/results/swimming/athlete-profile-n1347418-abarza-alberto.htm,Men's 100m Backstroke - S2,Chile,CHI,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,dos SANTOS ARAUJO,dos SANTOS ARAUJO Gabriel Geraldo,M,../../../en/results/swimming/athlete-profile-n1377418-dos-santos-araujo-gabriel-geraldo.htm,Men's 100m Backstroke - S2,Brazil,BRA,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,DANILENKO V,DANILENKO Vladimir,M,../../../en/results/swimming/athlete-profile-n1309699-danilenko-vladimir.htm,Men's 100m Backstroke - S2,RPC,RPC,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,BOKI I,BOKI Ihar,M,../../../en/results/swimming/athlete-profile-n1336276-boki-ihar.htm,Men's 100m Butterfly - S13,Belarus,BLR,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,VIRCHENKO O,VIRCHENKO Oleksii,M,../../../en/results/swimming/athlete-profile-n1341589-virchenko-oleksii.htm,Men's 100m Butterfly - S13,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,ASLANOV I,ASLANOV Islam,M,../../../en/results/swimming/athlete-profile-n1705394-aslanov-islam.htm,Men's 100m Butterfly - S13,Uzbekistan,UZB,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,BANDEIRA G,BANDEIRA Gabriel,M,../../../en/results/swimming/athlete-profile-n1616079-bandeira-gabriel.htm,Men's 100m Butterfly - S14,Brazil,BRA,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,DUNN R,DUNN Reece,M,../../../en/results/swimming/athlete-profile-n1725322-dunn-reece.htm,Men's 100m Butterfly - S14,Great Britain,GBR,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,HANCE BJ,HANCE Benjamin James,M,../../../en/results/swimming/athlete-profile-n1713841-hance-benjamin-james.htm,Men's 100m Butterfly - S14,Australia,AUS,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,POPHAM B,POPHAM Ben,M,../../../en/results/swimming/athlete-profile-n1498347-popham-ben.htm,Men's 100m Freestyle - S8,Australia,AUS,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,NIKOLAEV A,NIKOLAEV Andrei,M,../../../en/results/swimming/athlete-profile-n1325647-nikolaev-andrei.htm,Men's 100m Freestyle - S8,RPC,RPC,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,MICHALENTZAKIS D,MICHALENTZAKIS Dimosthenis,M,../../../en/results/swimming/athlete-profile-n1720527-michalentzakis-dimosthenis.htm,Men's 100m Freestyle - S8,Greece,GRE,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,BOCCIARDO F,BOCCIARDO Francesco,M,../../../en/results/swimming/athlete-profile-n1683357-bocciardo-francesco.htm,Men's 200m Freestyle - S5,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,PONCE BERTRAN A,PONCE BERTRAN Antoni,M,../../../en/results/swimming/athlete-profile-n1448841-ponce-bertran-antoni.htm,Men's 200m Freestyle - S5,Spain,ESP,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,de FARIA DIAS D,de FARIA DIAS Daniel,M,../../../en/results/swimming/athlete-profile-n1361234-de-faria-dias-daniel.htm,Men's 200m Freestyle - S5,Brazil,BRA,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,MARTIN W,MARTIN William,M,../../../en/results/swimming/athlete-profile-n1498336-martin-william.htm,Men's 400m Freestyle - S9,Australia,AUS,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,DIDIER U,DIDIER Ugo,M,../../../en/results/swimming/athlete-profile-n1358040-didier-ugo.htm,Men's 400m Freestyle - S9,France,FRA,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,TUCKFIELD A,TUCKFIELD Alexander,M,../../../en/results/swimming/athlete-profile-n1498357-tuckfield-alexander.htm,Men's 400m Freestyle - S9,Australia,AUS,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,ZHDANOV R,ZHDANOV Roman,M,../../../en/results/swimming/athlete-profile-n1309709-zhdanov-roman.htm,Men's 50m Breaststroke - SB3,RPC,RPC,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,LUQUE M,LUQUE Miguel,M,../../../en/results/swimming/athlete-profile-n1448832-luque-miguel.htm,Men's 50m Breaststroke - SB3,Spain,ESP,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,SUZUKI T,SUZUKI Takayuki,M,../../../en/results/swimming/athlete-profile-n1720245-suzuki-takayuki.htm,Men's 50m Breaststroke - SB3,Japan,JPN,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,CROTHERS R,CROTHERS Rowan,M,../../../en/results/swimming/athlete-profile-n1498314-crothers-rowan.htm,Men's 50m Freestyle - S10,Australia,AUS,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,KRYPAK M,KRYPAK Maksym,M,../../../en/results/swimming/athlete-profile-n1347466-krypak-maksym.htm,Men's 50m Freestyle - S10,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,MELO RODRIGUES PA,MELO RODRIGUES Phelipe Andrews,M,../../../en/results/swimming/athlete-profile-n1361243-melo-rodrigues-phelipe-andrews.htm,Men's 50m Freestyle - S10,Brazil,BRA,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,YIP PX,YIP Pin Xiu,W,../../../en/results/swimming/athlete-profile-n1628546-yip-pin-xiu.htm,Women's 100m Backstroke - S2,Singapore,SGP,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,YAMADA M,YAMADA Miyuki,W,../../../en/results/swimming/athlete-profile-n1720296-yamada-miyuki.htm,Women's 100m Backstroke - S2,Japan,JPN,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,RAMIREZ F,RAMIREZ Fabiola,W,../../../en/results/swimming/athlete-profile-n1354980-ramirez-fabiola.htm,Women's 100m Backstroke - S2,Mexico,MEX,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,GILLI C,GILLI Carlotta,W,../../../en/results/swimming/athlete-profile-n1683497-gilli-carlotta.htm,Women's 100m Butterfly - S13,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,BERRA A,BERRA Alessia,W,../../../en/results/swimming/athlete-profile-n1684309-berra-alessia.htm,Women's 100m Butterfly - S13,Italy,ITA,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,PIKALOVA D,PIKALOVA Daria,W,../../../en/results/swimming/athlete-profile-n1325654-pikalova-daria.htm,Women's 100m Butterfly - S13,RPC,RPC,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,SHABALINA V,SHABALINA Valeriia,W,../../../en/results/swimming/athlete-profile-n1325678-shabalina-valeriia.htm,Women's 100m Butterfly - S14,RPC,RPC,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,LEONHARDT P,LEONHARDT Paige,W,../../../en/results/swimming/athlete-profile-n1498332-leonhardt-paige.htm,Women's 100m Butterfly - S14,Australia,AUS,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,STORM R,STORM Ruby,W,../../../en/results/swimming/athlete-profile-n1498353-storm-ruby.htm,Women's 100m Butterfly - S14,Australia,AUS,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,ZHANG L,ZHANG Li,W,../../../en/results/swimming/athlete-profile-n1707454-zhang-li.htm,Women's 200m Freestyle - S5,People's Republic of China,CHN,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,KEARNEY T,KEARNEY Tully,W,../../../en/results/swimming/athlete-profile-n1725305-kearney-tully.htm,Women's 200m Freestyle - S5,Great Britain,GBR,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,BOGGIONI M,BOGGIONI Monica,W,../../../en/results/swimming/athlete-profile-n1683894-boggioni-monica.htm,Women's 200m Freestyle - S5,Italy,ITA,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,PATTERSON L,PATTERSON Lakeisha,W,../../../en/results/swimming/athlete-profile-n1498343-patterson-lakeisha.htm,Women's 400m Freestyle - S9,Australia,AUS,Swimming,SWM
